dataset,epsilon,passed,t_star,t_final,mae_ratio,rmse_ratio,avg_tvd_ratio,max_error_ratio,max_tvd_ratio,kkt_gap,reconstruction_max_abs,min_movable_share
adult,0.1,False,0.9940343919703356,0.9940343920704832,0.9921067101232772,0.9940343920703748,0.9940343920704832,0.9770828903378586,0.9461604240432924,0.00019303365024825325,1.0547118733938987e-15,0.0003437546460842249
adult,0.3,False,0.9940343919781768,0.994034392080468,0.9921067242494627,0.994034392080468,0.9940343920782599,0.977082971431052,0.946160671033685,0.0005279664474073797,1.0547118733938987e-15,0.00034375527854509937
br2000,0.1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3680285308117.5684,6.661338147750939e-16,0.0012808145932695636
br2000,0.3,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8868251734725.83,6.661338147750939e-16,0.0012808145932695638
