dataset,epsilon,seed,arm,squared_discrepancy,ellipsoid_ratio,max_standardized_coordinate,tube_ratio,slack,inside,num_active_tube_coordinates,kl_to_product_prior
adult,0.1,0,truth,13306.011128687835,0.9741574154821082,4.096432044251653,0.8594203642321793,0.0,True,0,9.734908494973423
adult,0.1,0,initial,17831.831082780598,1.3055009734256928,21.87100498803291,4.588477697149942,3.5884776971499424,False,0,9.175604760148063
adult,0.1,0,wp9_control,12485.986394507592,0.9141219046175382,5.61137399647929,1.177251088704,0.17725108870399997,False,0,10.016244611936614
adult,0.1,0,rce_v1,14309.983739080926,1.0476600868609656,4.771575025488305,1.001063535795935,0.04766008686096557,False,0,5.671479732696732
adult,0.1,1,truth,13374.04428869143,0.9791382475793619,3.852853335357599,0.8083182098559863,0.0,True,0,9.19831936246494
adult,0.1,1,initial,17138.65087869879,1.254751982646945,18.79839072116289,3.943851533734401,2.943851533734401,False,0,9.120670625140153
adult,0.1,1,wp9_control,12603.317273258363,0.9227119128848292,4.321835378240237,0.9067093741078465,0.0,True,0,9.414597398087679
adult,0.1,1,rce_v1,14380.482593289973,1.0528214369415068,4.063229497625315,0.8524545597450561,0.05282143694150676,False,0,7.1188455755456435
adult,0.1,2,truth,13356.134448827004,0.9778270354403301,4.437640395948969,0.9310049536326703,0.0,True,0,9.969174356417481
adult,0.1,2,initial,17673.9426463412,1.2939416721678798,20.930443776567593,4.391150498698185,3.3911504986981846,False,0,9.492787657375844
adult,0.1,2,wp9_control,12586.8171590413,0.921503909339259,5.506373234231218,1.155222212755106,0.15522221275510595,False,0,9.912225217497587
adult,0.1,2,rce_v1,14308.467130275223,1.0475490531559601,4.772398763854152,1.001236353877319,0.04754905315596014,False,0,5.7172736405118965
adult,0.3,0,truth,13306.011058393913,0.9741574103357616,4.096432167019599,0.8594203899885624,0.0,True,0,8.556728711731058
adult,0.3,0,initial,34947.59020633833,2.558577008802762,59.511772403840475,12.485408902896754,11.485408902896754,False,0,8.12026517157688
adult,0.3,0,wp9_control,10741.386959213529,0.7863965885554279,5.304958734547577,1.1129659954396838,0.11296599543968378,False,0,9.335781876625658
adult,0.3,0,rce_v1,11547.53386193812,0.8454160779923452,4.157073901856566,0.8721428619539866,0.0,True,0,7.343471232780636
adult,0.3,1,truth,13374.044302303275,0.9791382485759099,3.8528532599165244,0.8083181940286529,0.0,True,0,8.390695194465945
adult,0.3,1,initial,33829.614685947556,2.476727975836897,56.92474897830149,11.942658384729654,10.942658384729654,False,0,8.141461217979211
adult,0.3,1,wp9_control,10892.208772560854,0.7974385294096623,3.656718538375419,0.7671696598885663,0.0,True,0,9.112373781376466
adult,0.3,1,rce_v1,11672.184986207563,0.8545420148250189,3.7344540416918504,0.7834783582515056,0.0,True,0,7.2951320988356905
adult,0.3,2,truth,13356.134476208721,0.9778270374449957,4.437640458424256,0.9310049667398166,0.0,True,0,8.60873047205544
adult,0.3,2,initial,34481.4163407869,2.5244475673316225,58.157470106962805,12.201279943673237,11.201279943673237,False,0,8.19370304023219
