dataset,profile,supported_queries,unsupported_queries,optimal_over_current,current_pair_rho_share,optimal_pair_rho_share
acs,full_reconstructable_query_l2,1058,4096,0.9999999999999998,0.6918683057605141,0.6918683057605142
acs,equal_public_group_l2,1058,4096,0.99965344554079,0.6918683057605141,0.683271424741885
adult,full_reconstructable_query_l2,22534,6120,0.8455718531684706,0.9197821438450282,0.8465777443293414
adult,equal_public_group_l2,22534,6120,0.670849952422323,0.9197821438450282,0.7971310270382161
br2000,full_reconstructable_query_l2,4811,4096,1.0,0.8433044094113826,0.843304409411382
br2000,equal_public_group_l2,4811,4096,0.6559615706638596,0.8433044094113826,0.7307790774682572
nltcs,full_reconstructable_query_l2,512,8192,0.9999999999999998,0.645266440964778,0.645266440964778
nltcs,equal_public_group_l2,512,8192,0.9992813807463211,0.645266440964778,0.6324364543206702
