dataset,epsilon,full_true_avg_tvd_ratio,full_true_avg_tvd_ratio_max,full_true_avg_tvd_ratio_min,full_true_mae_ratio,full_true_mae_ratio_max,full_true_mae_ratio_min,full_true_max_error_ratio,full_true_max_error_ratio_max,full_true_max_error_ratio_min,full_true_max_tvd_ratio,full_true_max_tvd_ratio_max,full_true_max_tvd_ratio_min,full_true_rmse_ratio,full_true_rmse_ratio_max,full_true_rmse_ratio_min,level,primary_ratio,primary_ratio_max,primary_ratio_min,seed
acs,0.1,0.8329932796898715,,,0.876177959479761,,,1.7387480600103433,,,1.5107526881720426,,,0.9288528907480283,,,seed,0.8784699693015183,,,0
acs,0.1,0.6396071494574547,,,0.6978002503488285,,,1.2327464788732385,,,1.5678519593613938,,,0.7819541847603121,,,seed,0.7040582301363831,,,1
acs,0.1,0.6860130967638576,,,0.7568674621077734,,,1.1713492889351373,,,1.558854718981972,,,0.8020030350952042,,,seed,0.7467514673757872,,,2
acs,0.3,0.6041138348830656,,,0.7042856613812131,,,0.9041850220264321,,,0.5932055749128919,,,0.6979200475887264,,,seed,0.6671514495015405,,,0
acs,0.3,0.45148545791388595,,,0.5416687555575491,,,0.8457854406130247,,,0.736363636363638,,,0.5532313643875924,,,seed,0.5133671974605867,,,1
acs,0.3,0.6173187069216581,,,0.6666823452592087,,,0.9283667621776508,,,0.6583400483481066,,,0.6642543156362603,,,seed,0.6490142897018725,,,2
adult,0.1,1.079915624718522,,,1.099555766554302,,,0.8344155844155835,,,1.4974192315044925,,,1.0506299384602131,,,seed,1.076512191314003,,,0
adult,0.1,1.0618860199180689,,,1.1132373275718097,,,0.7563887725178048,,,1.4339972209356182,,,1.1220493464359813,,,seed,1.0987339400281588,,,1
adult,0.1,1.1648065347643102,,,1.189920368050179,,,0.7605268409499101,,,1.425107120065639,,,1.1083632258443898,,,seed,1.1538550849451568,,,2
adult,0.3,1.1862516191968786,,,1.304209534002672,,,0.6608695652173918,,,1.1509467350911342,,,1.2307611288530038,,,seed,1.239460393056175,,,0
adult,0.3,1.0250715954811391,,,1.0598653715981066,,,0.6535393818544363,,,1.0312706816677697,,,1.0118396115176802,,,seed,1.0320613789989221,,,1
adult,0.3,0.9998332959099664,,,1.026113092619932,,,0.55753040224509,,,0.9760741364785172,,,0.8673553416312461,,,seed,0.9618484007889511,,,2
br2000,0.1,1.095355908241423,,,1.0679912479784732,,,1.0655637254901955,,,0.6627464082860007,,,0.9407375247370328,,,seed,1.0324375832732295,,,0
br2000,0.1,1.0750168998694312,,,1.0610182083133914,,,1.1020717534108138,,,0.5337311557788945,,,1.0160117946915106,,,seed,1.0503780220914822,,,1
br2000,0.1,1.0875738369941494,,,1.113953488372093,,,0.4664246823956445,,,0.531524154871915,,,0.9711551319106494,,,seed,1.0556942098855904,,,2
br2000,0.3,1.2271270515228216,,,1.1373552908497826,,,0.9598494353826864,,,0.8630906274206043,,,0.9449874808871824,,,seed,1.0966564041498195,,,0
br2000,0.3,1.203049617572073,,,1.1472850241545893,,,1.3195739014647152,,,1.0303030303030305,,,1.0271657443246833,,,seed,1.1233932165863691,,,1
br2000,0.3,1.1223424364074963,,,1.0850745774678965,,,0.695269526952696,,,1.0172298053255762,,,0.9035786649073172,,,seed,1.032405509410822,,,2
nltcs,0.1,0.5279110045297096,,,0.5853565380464876,,,0.5829912023460408,,,0.6562067374250118,,,0.5682449390431167,,,seed,0.5599796632396571,,,0
nltcs,0.1,0.5579871867470548,,,0.5637671632102903,,,0.37736660929432,,,0.38569604086845477,,,0.5379509288114861,,,seed,0.5531236416555181,,,1
nltcs,0.1,0.8297888665805594,,,0.821582191553857,,,0.6555051078320087,,,0.49604743083003944,,,0.7717970140251156,,,seed,0.8073104451627069,,,2
nltcs,0.3,0.6289562785220079,,,0.9358954520176985,,,0.8888888888888888,,,0.6702954898911349,,,0.9091858240774514,,,seed,0.8118955288966533,,,0
nltcs,0.3,0.6231934868139144,,,0.9043466595116717,,,0.8324607329842925,,,0.4475201845444061,,,0.8604296699032427,,,seed,0.7856414840820721,,,1
nltcs,0.3,0.6591184151856806,,,0.8946044837362385,,,0.8218562874251503,,,0.521739130434782,,,0.8563018911981575,,,seed,0.796294665700035,,,2
nltcs,0.1,0.6252458938541076,0.8297888665805594,0.5279110045297096,0.6472276897981594,0.821582191553857,0.5637671632102903,0.5244054343987975,0.6555051078320087,0.37736660929432,0.5007293216826119,0.6562067374250118,0.38569604086845477,0.6179126848225285,0.7717970140251156,0.5379509288114861,aggregate,0.6300064793675533,0.8073104451627069,0.5531236416555181,aggregate
nltcs,0.3,0.6368966082019172,0.6591184151856806,0.6231934868139144,0.911446361050342,0.9358954520176985,0.8946044837362385,0.8472320418722695,0.8888888888888888,0.8218562874251503,0.5389032198824689,0.6702954898911349,0.4475201845444061,0.8749803746663048,0.9091858240774514,0.8563018911981575,aggregate,0.7978711978141512,0.8118955288966533,0.7856414840820721,aggregate
acs,0.1,0.7149830366832509,0.8329932796898715,0.6396071494574547,0.7734776340307001,0.876177959479761,0.6978002503488285,1.3591444492432896,1.7387480600103433,1.1713492889351373,1.5456151176544592,1.5678519593613938,1.5107526881720426,0.8351569232934801,0.9288528907480283,0.7819541847603121,aggregate,0.7729840416643438,0.8784699693015183,0.7040582301363831,aggregate
acs,0.3,0.5521927013183636,0.6173187069216581,0.45148545791388595,0.6335786422005723,0.7042856613812131,0.5416687555575491,0.8920975888917618,0.9283667621776508,0.8457854406130247,0.6600587777490274,0.736363636363638,0.5932055749128919,0.6353537788287152,0.6979200475887264,0.5532313643875924,aggregate,0.6057623392346723,0.6671514495015405,0.5133671974605867,aggregate
br2000,0.1,1.0859498411015258,1.095355908241423,1.0750168998694312,1.0807349494732612,1.113953488372093,1.0610182083133914,0.8181952259893268,1.1020717534108138,0.4664246823956445,0.5728808622982041,0.6627464082860007,0.531524154871915,0.9754805376257144,1.0160117946915106,0.9407375247370328,aggregate,1.0461224536204046,1.0556942098855904,1.0324375832732295,aggregate
br2000,0.3,1.1833125879918978,1.2271270515228216,1.1223424364074963,1.1229032921105335,1.1472850241545893,1.0850745774678965,0.958510060168742,1.3195739014647152,0.695269526952696,0.9671195254259323,1.0303030303030305,0.8630906274206043,0.9572179854631713,1.0271657443246833,0.9035786649073172,aggregate,1.0834716777992388,1.1233932165863691,1.032405509410822,aggregate
adult,0.1,1.1013038957040615,1.1648065347643102,1.0618860199180689,1.1335507615010834,1.189920368050179,1.099555766554302,0.7829740025317876,0.8344155844155835,0.7563887725178048,1.4518210045314999,1.4974192315044925,1.425107120065639,1.0932377317672304,1.1220493464359813,1.0506299384602131,aggregate,1.1092282463807246,1.1538550849451568,1.076512191314003,aggregate
adult,0.3,1.0672992502266243,1.1862516191968786,0.9998332959099664,1.1235638757049629,1.304209534002672,1.026113092619932,0.622136034234484,0.6608695652173918,0.55753040224509,1.0502763041434038,1.1509467350911342,0.9760741364785172,1.0260318335588399,1.2307611288530038,0.8673553416312461,aggregate,1.0715561562907856,1.239460393056175,0.9618484007889511,aggregate
